match_id,season,round,home_team,away_team,home_win_rate_last_5,away_win_rate_last_5,home_avg_score_last_5,away_avg_score_last_5,home_avg_margin_last_5,away_avg_margin_last_5,home_win_rate_last_3,away_win_rate_last_3,home_avg_score_last_3,away_avg_score_last_3,home_avg_margin_last_3,away_avg_margin_last_3,win_rate_diff,avg_margin_diff,head_to_head_win_rate,venue_home_win_rate,days_since_last_game_home,days_since_last_game_away,home_ladder_position,away_ladder_position,margin,home_win
8919,2010,8,North Melbourne,Adelaide,0.6,0.2,90.6,69.2,-8.6,-17.2,0.6666666666666666,0.3333333333333333,92.33333333333333,83.33333333333333,-9.333333333333334,-7.333333333333333,0.39999999999999997,8.6,,0.6666666666666666,7.0,6.0,11.0,14.0,9.0,1
8921,2010,8,Richmond,Hawthorn,0.0,0.0,62.8,74.0,-61.4,-28.6,0.0,0.0,60.0,75.66666666666667,-65.66666666666667,-21.0,0.0,-32.8,,0.0,6.0,8.0,10.0,15.0,-3.0,0
8922,2010,8,Port Adelaide,Carlton,0.6,0.6,81.0,102.6,-17.2,14.4,1.0,0.6666666666666666,86.66666666666667,111.66666666666667,12.0,14.666666666666666,0.0,-31.6,,0.6666666666666666,8.0,5.0,6.0,8.0,-26.0,0
8923,2010,8,St Kilda,Essendon,0.6,0.4,67.6,88.0,-5.0,-5.6,0.3333333333333333,0.3333333333333333,53.666666666666664,89.0,-22.666666666666668,-8.333333333333334,0.19999999999999996,0.5999999999999996,,0.75,5.0,8.0,4.0,13.0,-12.0,0
8924,2010,9,Collingwood,Geelong,1.0,0.8,137.6,133.8,56.8,63.0,1.0,1.0,148.33333333333334,147.33333333333334,51.666666666666664,85.33333333333333,0.19999999999999996,-6.200000000000003,,1.0,7.0,6.0,1.0,3.0,-36.0,0
8925,2010,9,North Melbourne,Western Bulldogs,0.6,0.6,84.2,83.4,-11.8,13.2,0.6666666666666666,0.6666666666666666,93.0,72.33333333333333,-10.333333333333334,13.0,0.0,-25.0,,0.75,6.0,7.0,9.0,6.0,-70.0,0
8926,2010,9,Sydney,Fremantle,0.6,0.6,88.8,105.2,1.4,7.8,0.3333333333333333,0.6666666666666666,76.33333333333333,107.0,-28.333333333333332,5.0,0.0,-6.4,,1.0,7.0,7.0,5.0,2.0,-37.0,0
8927,2010,9,Melbourne,Port Adelaide,0.4,0.6,85.2,83.2,9.2,-17.0,0.0,0.6666666666666666,63.333333333333336,99.33333333333333,-19.666666666666668,0.0,-0.19999999999999996,26.2,,,7.0,6.0,13.0,7.0,1.0,1
8928,2010,9,Essendon,Richmond,0.4,0.0,87.6,68.8,-7.2,-51.0,0.6666666666666666,0.0,101.66666666666667,64.33333333333333,17.333333333333332,-53.666666666666664,0.4,43.8,,1.0,6.0,6.0,11.0,10.0,35.0,1
8929,2010,9,Adelaide,Brisbane Lions,0.2,0.2,76.0,83.0,-15.8,-28.4,0.3333333333333333,0.0,84.33333333333333,87.0,6.0,-38.0,0.0,12.599999999999998,,0.25,7.0,7.0,15.0,10.0,12.0,1
